id,mappings,description
Asset,,"An information asset or associated asset requiring protection, per Annex A control 5.9."
AuditFinding,,"A finding from an internal audit, including nonconformities, observations, and positive findings."
AuditProgramme,,"The internal audit programme per 9.2.2, planning audit activities over a defined period."
AwarenessProgram,,The awareness program ensuring personnel understand their information security responsibilities per Clause 7.3.
CommunicationItem,,A single communication requirement within the communication plan.
CommunicationPlan,,Plan for internal and external communications relevant to the ISMS per Clause 7.4.
CompetenceRecord,,Evidence of competence for personnel affecting information security performance per Clause 7.2 d).
CorrectiveAction,,A corrective action per Clause 10.2 to address the root cause of a nonconformity and reduce the likelihood of recurrence.
DocumentedInformation,,Abstract class for documented information per Clause 7.5. Captures metadata required for document control.
ImprovementOpportunity,,"An opportunity for continual improvement per Clause 10.1, enhancing overall ISMS performance."
InformationSecurityEvent,,"An information security event per A.5.25, which may or may not be categorized as an incident."
InformationSecurityIncident,,"An information security incident per A.5.26, requiring response per documented procedures."
InformationSecurityManagementSystem,,Top-level container representing an organization's complete ISMS per ISO 27001. Aggregates all components required to support the full ISMS lifecycle.
InformationSecurityObjective,,"A measurable information security objective per Clause 6.2, established at relevant functions and levels of the organization."
InformationSecurityPolicy,,The information security policy established by top management per Clause 5.2. Provides framework for setting objectives and demonstrates commitment.
InterestedParty,,"A stakeholder whose needs and expectations are relevant to the ISMS per 4.2. Includes internal parties (employees, management) and external parties (customers, regulators, suppliers)."
InternalAudit,,"An internal audit instance per Clause 9.2, assessing ISMS conformance and effectiveness."
ManagementReview,,"A management review per Clause 9.3, conducted by top management to evaluate ongoing ISMS performance and fitness for purpose."
MonitoringItem,,A single item to be monitored and measured per 9.1.
MonitoringProgram,,"The program for monitoring, measurement, analysis, and evaluation per Clause 9.1."
NamedEntity,,"Abstract base class for all entities with an identifier, name, and description. Provides common identification and documentation slots."
Nonconformity,,"A nonconformity identified per Clause 10.2, representing failure to fulfill a requirement."
OperationalProcedure,,A documented procedure for operational planning and control per Clause 8.1.
Organization,,The organization establishing and operating the ISMS. Captures context needed for Clause 4.1 (understanding the organization).
Resource,,"A resource provided for the ISMS per Clause 7.1, including personnel, infrastructure, technology, and budget."
Risk,,An identified information security risk that may affect information security properties within the ISMS scope.
RiskAssessment,,"An instance of risk assessment performed per Clause 8.2, identifying and evaluating information security risks."
RiskAssessmentProcess,,"The documented risk assessment process per Clause 6.1.2, defining criteria and methodology for identifying, analyzing, and evaluating risks."
RiskTreatmentPlan,,A risk treatment plan documenting planned actions to address identified risks through selected controls.
RiskTreatmentProcess,,"The documented risk treatment process per Clause 6.1.3, defining how treatment options are selected and controls determined."
Role,,An information security role with defined responsibilities and authorities per Clause 5.3.
SecurityControl,,"A security control from Annex A of ISO/IEC 27001:2022, derived from ISO/IEC 27002:2022. Represents a measure that modifies risk."
SoAEntry,,"A single entry in the Statement of Applicability, documenting the applicability and implementation status of one control."
StatementOfApplicability,,"The Statement of Applicability (SoA) recording which controls apply, their rationale, and current implementation state."
TopicSpecificPolicy,,"A policy addressing a specific information security topic, supporting the overarching information security policy."

