#license: https://www.apache.org/licenses/LICENSE-2.0
#mapping_set_id: https://w3id.org/lmodel/iso27001
#mapping_tool: https://w3id.org/linkml/
#creator_id: linkml_user
#mapping_date: 2026-06-01
#curie_map: 
# linkml: https://w3id.org/linkml/
# iso27001: https://w3id.org/lmodel/iso27001/
# iso27002: https://w3id.org/lmodel/iso27002/
# iso: https://www.iso.org/standard/
# schema: http://schema.org/
# dcterms: http://purl.org/dc/terms/
# skos: http://www.w3.org/2004/02/skos/core#
# prov: http://www.w3.org/ns/prov#
# cis_controls: https://w3id.org/lmodel/cis-controls/
# oscal: https://w3id.org/lmodel/oscal/
# nist_sp_800_53: https://w3id.org/lmodel/nist-sp-800-53/
# nist_csf_v2: https://w3id.org/lmodel/nist-csf-v2/
# nist_sp_800_171: https://w3id.org/lmodel/nist-sp-800-171/
# nist_sp_800_218: https://w3id.org/lmodel/nist-sp-800-218/
# attack: https://w3id.org/lmodel/attack/
# d3f: https://d3fend.mitre.org/ontologies/d3fend.owl#
# slsa: https://w3id.org/lmodel/slsa/
# stix: https://w3id.org/lmodel/stix/
# ocsf: https://w3id.org/lmodel/ocsf/
# spdx: https://w3id.org/lmodel/spdx/
# capec: https://w3id.org/lmodel/capec/
# cwe: https://w3id.org/lmodel/cwe/
# cve: https://w3id.org/lmodel/cve/
# nvd: https://w3id.org/lmodel/nist-nvd/
# kev_catalog: https://w3id.org/lmodel/kev-catalog/
# iso29100: https://w3id.org/lmodel/iso29100/
# semapv: https://w3id.org/semapv/vocab/
# iso42001: https://w3id.org/lmodel/iso42001/
subject_id	subject_label	predicate_id	predicate_modifier	object_id	object_label	match_type	subject_source	object_source	mapping_tool	confidence	subject_match_field	object_match_field	subject_category	object_category	match_string	comment
iso27001:affected_assets	affected_assets	skos:relatedMatch		ocsf:Device		skos:relatedMatch	https://w3id.org/lmodel/iso27001									
iso27001:affected_assets	affected_assets	skos:closeMatch		iso42001:affected_ai_systems		skos:closeMatch	https://w3id.org/lmodel/iso27001									
iso27001:applicable_threats	applicable_threats	skos:relatedMatch		attack:AttackTechnique		skos:relatedMatch	https://w3id.org/lmodel/iso27001									
iso27001:applicable_threats	applicable_threats	skos:relatedMatch		capec:AttackPattern		skos:relatedMatch	https://w3id.org/lmodel/iso27001									
iso27001:applicable_threats	applicable_threats	skos:relatedMatch		stix:AttackPattern		skos:relatedMatch	https://w3id.org/lmodel/iso27001									
iso27001:awareness_program	awareness_program	skos:exactMatch		iso42001:awareness_program		skos:exactMatch	https://w3id.org/lmodel/iso27001									
iso27001:certification_body	certification_body	skos:exactMatch		iso42001:certification_body		skos:exactMatch	https://w3id.org/lmodel/iso27001									
iso27001:certification_date	certification_date	skos:exactMatch		iso42001:certification_date		skos:exactMatch	https://w3id.org/lmodel/iso27001									
iso27001:certification_status	certification_status	skos:exactMatch		iso42001:certification_status		skos:exactMatch	https://w3id.org/lmodel/iso27001									
iso27001:climate_change_relevant	climate_change_relevant	skos:exactMatch		iso42001:climate_change_relevant		skos:exactMatch	https://w3id.org/lmodel/iso27001									
iso27001:communication_plan	communication_plan	skos:exactMatch		iso42001:communication_plan		skos:exactMatch	https://w3id.org/lmodel/iso27001									
iso27001:competence_records	competence_records	skos:exactMatch		iso42001:competence_records		skos:exactMatch	https://w3id.org/lmodel/iso27001									
iso27001:context_external_issues	context_external_issues	skos:exactMatch		iso42001:context_external_issues		skos:exactMatch	https://w3id.org/lmodel/iso27001									
