# mapping_set_id: https://w3id.org/lmodel/iso27001/mappings/iso27001_to_iso29100
# mapping_set_version: 0.1.0
# mapping_set_title: ISO/IEC 27001:2022 to ISO/IEC 29100 Privacy Framework Mappings
# mapping_set_description: Mappings between ISO/IEC 27001:2022 ISMS classes and selected Annex A controls (notably A.5.34 protection of PII) and ISO/IEC 29100:2024 privacy-framework concepts (PII principal/controller/processor and the 11 privacy principles). Supports ISO/IEC 27701 PIMS implementations layered on the ISO 27001 ISMS.
# license: https://creativecommons.org/licenses/by/4.0/
# subject_source: https://w3id.org/lmodel/iso27001
# object_source: https://w3id.org/lmodel/iso29100
# mapping_date: 2026-06-01
# curie_map:
#   iso27001: https://w3id.org/lmodel/iso27001/
#   iso29100: https://w3id.org/lmodel/iso29100/
#   owl: http://www.w3.org/2002/07/owl#
#   semapv: https://w3id.org/semapv/vocab/
#   skos: http://www.w3.org/2004/02/skos/core#
subject_id	subject_label	subject_category	predicate_id	predicate_label	object_id	object_label	object_category	mapping_justification	comment
iso27001:InformationSecurityManagementSystem	InformationSecurityManagementSystem	owl:Class	skos:relatedMatch	related match	iso29100:PrivacyFramework	PrivacyFramework	owl:Class	semapv:LLMBasedMatching	ISMS provides foundation for privacy framework (per ISO 27701)
iso27001:Organization	Organization	owl:Class	skos:relatedMatch	related match	iso29100:PIIController	PIIController	owl:Class	semapv:LLMBasedMatching	Organisation acting as PII controller
iso27001:Organization	Organization	owl:Class	skos:relatedMatch	related match	iso29100:PIIProcessor	PIIProcessor	owl:Class	semapv:LLMBasedMatching	Organisation acting as PII processor
iso27001:InterestedParty	InterestedParty	owl:Class	skos:relatedMatch	related match	iso29100:PIIPrincipal	PIIPrincipal	owl:Class	semapv:LLMBasedMatching	PII principal as interested party
iso27001:Asset	Asset	owl:Class	skos:relatedMatch	related match	iso29100:PII	PersonallyIdentifiableInformation	owl:Class	semapv:LLMBasedMatching	Information asset comprising PII
iso27001:Risk	Risk	owl:Class	skos:relatedMatch	related match	iso29100:PrivacyRisk	PrivacyRisk	owl:Class	semapv:LLMBasedMatching	Privacy risk as specialisation of information security risk
iso27001:AnnexAControlId#a_5_34	A.5.34 Privacy and protection of PII	skos:Concept	skos:closeMatch	close match	iso29100:PrivacyPrinciple	PrivacyPrinciple	owl:Class	semapv:LLMBasedMatching	Privacy principles operationalised
iso27001:AnnexAControlId#a_5_33	A.5.33 Protection of records	skos:Concept	skos:relatedMatch	related match	iso29100:PrivacyPrinciple#information_security	Information security principle	skos:Concept	semapv:LLMBasedMatching	Records protection supports information-security privacy principle
iso27001:AnnexAControlId#a_5_14	A.5.14 Information transfer	skos:Concept	skos:relatedMatch	related match	iso29100:PrivacyPrinciple#openness_transparency_notice	Openness, transparency and notice	skos:Concept	semapv:LLMBasedMatching	Information transfer disclosure requirements
iso27001:AnnexAControlId#a_8_11	A.8.11 Data masking	skos:Concept	skos:relatedMatch	related match	iso29100:PrivacyPrinciple#data_minimization	Data minimization	skos:Concept	semapv:LLMBasedMatching	Data masking supports minimisation
iso27001:AnnexAControlId#a_8_12	A.8.12 Data leakage prevention	skos:Concept	skos:relatedMatch	related match	iso29100:PrivacyPrinciple#information_security	Information security	skos:Concept	semapv:LLMBasedMatching	DLP enforces information-security privacy principle
iso27001:AnnexAControlId#a_8_10	A.8.10 Information deletion	skos:Concept	skos:relatedMatch	related match	iso29100:PrivacyPrinciple#use_retention_disclosure_limitation	Use, retention and disclosure limitation	skos:Concept	semapv:LLMBasedMatching	Deletion supports retention limitation
iso27001:AnnexAControlId#a_5_19	A.5.19 Information security in supplier relationships	skos:Concept	skos:relatedMatch	related match	iso29100:PIIProcessor	PIIProcessor	owl:Class	semapv:LLMBasedMatching	Supplier acting as PII processor
iso27001:AnnexAControlId#a_5_20	A.5.20 Addressing information security within supplier agreements	skos:Concept	skos:relatedMatch	related match	iso29100:PIIProcessor	PIIProcessor	owl:Class	semapv:LLMBasedMatching	Processor agreement requirements
iso27001:AnnexAControlId#a_6_3	A.6.3 Information security awareness, education and training	skos:Concept	skos:relatedMatch	related match	iso29100:PrivacyPrinciple#accountability	Accountability	skos:Concept	semapv:LLMBasedMatching	Training supports accountability principle
