# mapping_set_id: https://w3id.org/lmodel/iso27001/mappings/iso27001_to_nist_sp_800_218
# mapping_set_version: 0.1.0
# mapping_set_title: ISO/IEC 27001:2022 Annex A to NIST SP 800-218 (SSDF) Mappings
# mapping_set_description: Mappings between ISO/IEC 27001:2022 Annex A secure-development controls (5.19-5.23, 8.25-8.34) and NIST Secure Software Development Framework (SP 800-218) practices in the PO (Prepare the Organization), PS (Protect the Software), PW (Produce Well-Secured Software) and RV (Respond to Vulnerabilities) groups. SSDF practice identifiers follow the PO.x.y / PS.x.y / PW.x.y / RV.x.y pattern.
# license: https://creativecommons.org/licenses/by/4.0/
# subject_source: https://w3id.org/lmodel/iso27001
# object_source: https://w3id.org/lmodel/nist-sp-800-218
# mapping_date: 2026-06-01
# curie_map:
#   iso27001: https://w3id.org/lmodel/iso27001/
#   nist_sp_800_218: https://w3id.org/lmodel/nist-sp-800-218/
#   owl: http://www.w3.org/2002/07/owl#
#   semapv: https://w3id.org/semapv/vocab/
#   skos: http://www.w3.org/2004/02/skos/core#
subject_id	subject_label	subject_category	predicate_id	predicate_label	object_id	object_label	object_category	mapping_justification	comment
iso27001:OperationalProcedure	OperationalProcedure	owl:Class	skos:relatedMatch	related match	nist_sp_800_218:CatalogElement	CatalogElement	owl:Class	semapv:LLMBasedMatching	Operational procedures cover SSDF practices
iso27001:SecurityControl	SecurityControl	owl:Class	skos:relatedMatch	related match	nist_sp_800_218:CatalogElement	CatalogElement	owl:Class	semapv:LLMBasedMatching	Annex A controls align with SSDF practices
iso27001:AnnexAControlId#a_5_2	A.5.2 Information security roles and responsibilities	skos:Concept	skos:closeMatch	close match	nist_sp_800_218:practice_po_2_1	PO.2.1 Define roles and responsibilities	skos:Concept	semapv:LLMBasedMatching	Roles and responsibilities for secure development
iso27001:AnnexAControlId#a_5_19	A.5.19 Information security in supplier relationships	skos:Concept	skos:closeMatch	close match	nist_sp_800_218:practice_po_1_3	PO.1.3 Third-party software requirements	skos:Concept	semapv:LLMBasedMatching	Third-party supplier requirements
iso27001:AnnexAControlId#a_5_20	A.5.20 Addressing information security within supplier agreements	skos:Concept	skos:closeMatch	close match	nist_sp_800_218:practice_po_1_3	PO.1.3 Third-party software requirements	skos:Concept	semapv:LLMBasedMatching	Contractual third-party requirements
iso27001:AnnexAControlId#a_5_21	A.5.21 Managing information security in the ICT supply chain	skos:Concept	skos:closeMatch	close match	nist_sp_800_218:practice_ps_3_2	PS.3.2 Provenance data	skos:Concept	semapv:LLMBasedMatching	Provenance data for supply chain
iso27001:AnnexAControlId#a_8_4	A.8.4 Access to source code	skos:Concept	skos:closeMatch	close match	nist_sp_800_218:practice_ps_1_1	PS.1.1 Protect code from unauthorized access	skos:Concept	semapv:LLMBasedMatching	Code repository protection
iso27001:AnnexAControlId#a_8_25	A.8.25 Secure development life cycle	skos:Concept	skos:closeMatch	close match	nist_sp_800_218:practice_po_3_1	PO.3.1 SDLC defined	skos:Concept	semapv:LLMBasedMatching	Secure SDLC definition
iso27001:AnnexAControlId#a_8_26	A.8.26 Application security requirements	skos:Concept	skos:closeMatch	close match	nist_sp_800_218:practice_pw_1_1	PW.1.1 Identify security requirements	skos:Concept	semapv:LLMBasedMatching	Application security requirements
iso27001:AnnexAControlId#a_8_27	A.8.27 Secure system architecture and engineering principles	skos:Concept	skos:closeMatch	close match	nist_sp_800_218:practice_pw_1_2	PW.1.2 Design supports security	skos:Concept	semapv:LLMBasedMatching	Secure design principles
iso27001:AnnexAControlId#a_8_28	A.8.28 Secure coding	skos:Concept	skos:closeMatch	close match	nist_sp_800_218:practice_pw_5_1	PW.5.1 Follow secure coding practices	skos:Concept	semapv:LLMBasedMatching	Secure coding practices
iso27001:AnnexAControlId#a_8_29	A.8.29 Security testing in development and acceptance	skos:Concept	skos:closeMatch	close match	nist_sp_800_218:practice_pw_8_2	PW.8.2 Test executable code	skos:Concept	semapv:LLMBasedMatching	Security testing of code
iso27001:AnnexAControlId#a_8_30	A.8.30 Outsourced development	skos:Concept	skos:closeMatch	close match	nist_sp_800_218:practice_po_1_3	PO.1.3 Third-party software requirements	skos:Concept	semapv:LLMBasedMatching	Outsourced development requirements
iso27001:AnnexAControlId#a_8_31	A.8.31 Separation of development, test and production environments	skos:Concept	skos:closeMatch	close match	nist_sp_800_218:practice_po_5_1	PO.5.1 Separate environments	skos:Concept	semapv:LLMBasedMatching	Environment separation
iso27001:AnnexAControlId#a_8_32	A.8.32 Change management	skos:Concept	skos:closeMatch	close match	nist_sp_800_218:practice_ps_3_1	PS.3.1 Archive and protect each release	skos:Concept	semapv:LLMBasedMatching	Release change management
iso27001:AnnexAControlId#a_8_33	A.8.33 Test information	skos:Concept	skos:closeMatch	close match	nist_sp_800_218:practice_pw_8_1	PW.8.1 Test cases	skos:Concept	semapv:LLMBasedMatching	Test information protection
iso27001:AnnexAControlId#a_8_8	A.8.8 Management of technical vulnerabilities	skos:Concept	skos:closeMatch	close match	nist_sp_800_218:practice_rv_1_1	RV.1.1 Identify vulnerabilities	skos:Concept	semapv:LLMBasedMatching	Vulnerability identification
iso27001:AnnexAControlId#a_5_7	A.5.7 Threat intelligence	skos:Concept	skos:closeMatch	close match	nist_sp_800_218:practice_rv_1_2	RV.1.2 Vulnerability response	skos:Concept	semapv:LLMBasedMatching	Threat intelligence informs vulnerability response
